sentence,class,rating
they are wearing a baseball cap.,probable,1
they are eating an apple.,probable,1
they are washing a car.,probable,1
they are losing money.,probable,1
they are meeting a clown.,probable,1
they are building a house out of bricks.,probable,1
they are cleaning a closet.,probable,1
they are winning a game.,probable,1
they are finding an alligator under the bed.,improbable,.58
they are drinking onion juice.,improbable,1
they are growing a beard to their toes.,improbable,.67
they are owning a lion for a pet.,improbable,.83
they are eating pickle-flavored ice cream.,improbable,.92
they are getting struck by lightning.,improbable,.58
they are making a mug-shaped building.,improbable,.58
they are painting polka dots on an airplane.,improbable,.67
they are turning applesauce back into an apple.,impossible,.08
they are growing money on a tree.,impossible,.08
they are walking through a brick wall.,impossible,.17
they are traveling back in time.,impossible,.33
they are making a car vanish into thin air.,impossible,.17
they are walking on water.,impossible,.33
they are opening a window with their mind.,impossible,.42
they are eating lightning for dinner.,impossible,.42